Lambda,E_wait
1.2,1.3611847168711473
1.25,1.473328344641118
1.3,1.597128096933943
1.35,1.7718079462100897
1.4,1.9846181662088518
1.45,2.182635900244306
1.5,2.5569382380016186
1.55,2.902401363766749
1.6,3.451787976405393
1.65,4.287976652952542
1.7,5.684950026773326
1.75,8.441132392874211
