seed,edge_avg_wait,edge_avg_delay,edge_avg_service_time,edge_utilization,edge_avg_number_node,edge_avg_number_queue,cloud_avg_wait,cloud_avg_delay,cloud_avg_service_time,cloud_utilization,cloud_avg_number_node,cloud_avg_number_queue,count_E,E_avg_wait,E_avg_delay,E_avg_service_time,E_utilization,E_avg_number_edge,E_avg_number_queue_edge,count_C,C_avg_wait,C_avg_delay,C_avg_service_time,C_utilization,C_avg_number_edge,C_avg_number_queue_edge
123456789,20678.579561070896,20678.384573569536,0.19498750200705395,0.8599499030451544,91198.37069357972,91197.51074367952,14288.13734593247,14287.342187090144,0.7951588413487958,0.9998950795796965,17967.02430463193,17966.024409551123,259398,10769.055758472674,10768.805653180489,0.2501052923951393,0.7885329044305747,33952.71940822111,33951.93087531735,172101,45524.162162549575,45523.47831903025,0.6838435209543372,0.8599184669126516,57245.6512853568,57244.791366891935
866235745,20520.487470386903,20520.29242180477,0.19504858095841027,0.8559934552901218,90056.55354016426,90055.69754670381,15048.499864698435,15047.700900519352,0.7989641788029599,0.9999913887477397,18834.849768629218,18833.849777240117,259341,10734.337603804617,10734.087569104084,0.25003470060541655,0.7843605776603684,33673.69098503125,33672.906624453826,172162,45048.275401983046,45047.59150916021,0.6838928245976169,0.855966955175152,56382.862555130094,56382.006588177115
1245016116,20682.01974624447,20681.82476479363,0.19498144949289356,0.8516067180513969,90331.39821547674,90330.54660875282,15058.768909627934,15057.96792186489,0.8009877623079187,0.9999715000102085,18799.712609190843,18798.712637689914,259260,10943.420119569508,10943.170053812837,0.25006575655723334,0.7800067310875163,34134.78707321176,34134.00706648032,173011,45014.08070896811,45013.39863178272,0.6820771869125153,0.8515208094495857,56196.61114226043,56195.75962145289
247366666,20576.725355188337,20576.530393804107,0.19496138450421294,0.8539205041730618,90124.96363941937,90124.10971891638,14836.043659745561,14835.244240444248,0.7994193021933568,0.9999852049935751,18558.25112013111,18557.251134927217,259144,10746.992476456466,10746.742366430151,0.2501100260857332,0.7826086202539109,33627.956006032815,33627.17339741185,172594,45165.46664166495,45164.78400794253,0.6826337245386505,0.8538993530621591,56497.00763338802,56496.1537340376
1763968652,20377.05148369269,20376.85678748656,0.19469620671027066,0.8506090681680328,89025.38507259742,89024.53446353177,15350.751630309893,15349.95009729698,0.8015330123783375,0.9999492921813747,19150.768577370844,19149.768628077996,259290,10645.605390020759,10645.355995700898,0.24939432038355513,0.7784490014382309,33228.7474422916,33227.96899329179,172630,44725.11495342052,44724.43315004718,0.6818033737266629,0.8505810620848678,55796.637630308236,55795.78704924664
1037521686,20808.68852726275,20808.49356018494,0.1949670772882749,0.8558882235475953,91348.30200906546,91347.44612083961,14688.00128529351,14687.20428675743,0.7969985362232757,0.9999711705119857,18428.613316325896,18427.61334515556,259606,10961.232995038612,10960.982836656489,0.25015838194013235,0.7843066327388974,34366.09908622871,34365.31477959539,173203,45416.041641508724,45415.35948706843,0.6821544386291591,0.8558795800282997,56982.20292283928,56981.34704325716
194811187,20383.88644869667,20383.691539534295,0.19490916209627915,0.8516908200460186,89071.07689806652,89070.22520724525,15363.559416253238,15362.759459331503,0.799956921714547,0.9999945244276718,19205.37828342545,19204.378288900996,258588,10620.384272460931,10620.134391727237,0.24988073389429738,0.7795330136351027,33131.566523157446,33130.786990144436,172902,44749.44355054418,44748.76224500396,0.6813055410879066,0.8516731239601067,55939.51037490675,55938.65870178388
718630441,20614.36701463813,20614.171876954326,0.1951376838922695,0.8539165059995328,90207.83635133208,90206.98243482647,15164.97544728927,15164.176397001806,0.799050286886772,0.9999305779865504,18977.432225499695,18976.432294920985,259038,10861.437343287515,10861.187102805405,0.2502404824405533,0.7818940166439928,33937.32615939787,33936.544265382254,173054,44966.088948560646,44965.40661334302,0.6823352163614399,0.8538734776445362,56270.510191932735,56269.65631845351
673602553,20672.061837769463,20671.86683285984,0.1950049091628437,0.8565254768137701,90798.47116840158,90797.61464292274,14828.118231188493,14827.321341702413,0.7968894867133576,0.9999513358984732,18606.590852755067,18605.590901419964,259411,10833.81938443664,10833.56924745388,0.25013698304142684,0.7848072067863642,33991.21324062479,33990.42843341888,172898,45271.30969927144,45270.62712771786,0.6825715519576823,0.8565031244688621,56807.25792777758,56806.40142465107
1620294621,20791.307755105656,20791.11256103762,0.19519406877159928,0.8571154407204455,91296.57997202776,91295.72285659025,14698.04671223421,14697.247126721135,0.7995855130477604,0.9999711061584761,18381.551177908703,18380.55120680251,260611,10937.78490149004,10937.53473397714,0.25016751282439637,0.7856465307663698,34349.91484348489,34349.12919695389,172458,45535.044135515855,45534.35880532926,0.6853301855646436,0.857082041332502,56946.665128545195,56945.80804650258
