seed,edge_avg_wait,edge_avg_delay,edge_avg_service_time,edge_utilization,edge_avg_number_node,edge_avg_number_queue,cloud_avg_wait,cloud_avg_delay,cloud_avg_service_time,cloud_utilization,cloud_avg_number_node,cloud_avg_number_queue,count_E,E_avg_wait,E_avg_delay,E_avg_service_time,E_utilization,E_avg_number_edge,E_avg_number_queue_edge,count_C,C_avg_wait,C_avg_delay,C_avg_service_time,C_utilization,C_avg_number_edge,C_avg_number_queue_edge
381987496,24.824075628286206,24.523430427287924,0.30064520099828157,0.7502025585749721,61.94372964797587,61.193527089400895,14174.025777239442,14173.224275692623,0.8015015468191625,0.9999968553114712,17684.28427941781,17683.284282562498,0,3.1225203538938078,2.6212678699566423,0.5012524839371654,0.6253898194501215,3.8958259618236037,3.270436142373482,142895,46.52563090267872,46.42559298461933,0.10003791805939669,0.1248127391248493,58.04790368615241,57.92309094702757
276210515,21.9473882337144,21.64684361277984,0.3005446209345598,0.7568400478726257,55.26853985884609,54.51169981097347,13363.087382736674,13362.293167906873,0.7942148298013089,1.0000072334331567,16825.654145842545,16824.654138609112,0,2.96458561430084,2.463572635312672,0.501012978988168,0.6308325962100242,3.7327520806610766,3.1019194844510523,142680,40.93019085312825,40.830114590247305,0.10007626288095409,0.12600745166260466,51.535787778185394,51.409780326522785
81304052,23.86106356892757,23.5610823268211,0.29998124210647187,0.7518681606922047,59.804985977629215,59.05311781693701,14077.53339949021,14076.73546574866,0.7979337415517133,0.9999641484279865,17641.851653512826,17640.851689364397,0,3.0011301267988397,2.5007176891195964,0.5004124376792431,0.627112842895449,3.7609921416908576,3.1338792987954083,143513,44.720997011058216,44.62144696452451,0.09955004653370607,0.1247553177967626,56.04399383594075,55.91923851814399
1958522443,19.305811702344005,19.00600868227838,0.29980302006562365,0.749524285754394,48.26560694398891,47.51608265823451,13753.808042299503,13753.008070845899,0.7999714536057246,0.9999866449919175,17192.643935092925,17191.643948447934,0,2.917142511034269,2.417371452274205,0.499771058760064,0.624727772548556,3.646509559090074,3.0217817865415175,142660,35.694480893652944,35.59464591228176,0.09983498137118141,0.12479651320583557,44.619097384897835,44.494300871692005
1222750036,18.844424060429652,18.544668580606103,0.29975547982354606,0.7484733388047927,47.053515093922314,46.305041755117514,13971.407733668064,13970.606776821802,0.8009568462615217,0.9999731202792632,17442.927482722556,17441.92750960228,0,2.891378966472846,2.3923264027122166,0.4990525637606299,0.6230537284203961,3.6098090184369807,2.9867552900165846,142684,34.797469154386,34.697010758499516,0.10045839588648454,0.1254196103844245,43.443706075484755,43.318286465100336
218191175,21.228200190075025,20.927580301912904,0.3006198881621202,0.7539706674273708,53.24145505955744,52.487484392130064,13793.925719717718,13793.128294842272,0.7974248754453906,0.9999919985974304,17297.949654831966,17296.94966283337,0,2.9727344051980014,2.4721948784177226,0.5005395267802787,0.6276898767203064,3.7278879938287934,3.100198117108487,142732,39.48366597495182,39.382965725407864,0.10070024954396184,0.12628079070706452,49.51356706572836,49.387286275021296
1855672722,19.403237418864684,19.10336710721829,0.2998703116463932,0.7494985596346936,48.496626484444405,47.74712792480971,13976.648415034535,13975.848233310011,0.8001817245246747,0.9999907071235113,17466.68050944233,17465.680518735207,0,2.9471269910770315,2.4475093814279427,0.49961760964908886,0.6243743782840475,3.6830378818518352,3.0586635035677876,142954,35.85934784665357,35.75922483300988,0.10012301364369089,0.12512418135063771,44.81358860259411,44.688464421243474
327803130,18.21988014902935,17.919603078306093,0.30027707072325815,0.7470696474758554,45.329866203911266,44.582796556435405,14267.396730799128,14266.592858507138,0.8038722919909608,0.9999907557823047,17748.173412647284,17747.1734218915,0,2.9678103998356096,2.4672474309180576,0.5005629689175518,0.622683909610515,3.691858762042723,3.0691748524322082,142754,33.47194989822299,33.37195872569403,0.09999117252895803,0.12438573786533236,41.63800744186841,41.51362170400308
255774544,24.875944731594473,24.575684508065585,0.3002602235288876,0.7526942645869296,62.3591786670711,61.60648440248417,13831.906360409477,13831.108542786125,0.7978176233518872,0.9999871814948648,17336.95603004512,17335.956042863625,0,3.056342978791436,2.5555600403847096,0.5007829384067263,0.6276829496622751,3.8308301441158403,3.203147194453565,143162,46.69554648439707,46.59580897574601,0.09973750865106007,0.1250113149246684,58.528348522954715,58.403337208030045
697906742,26.675248537023958,26.373734296603544,0.3015142404204142,0.7511975301658737,66.45915227629999,65.7079547461341,14268.618014442629,14267.81526708035,0.8027473622788942,0.9999889807032928,17774.534622948922,17773.53463396822,0,2.9955373461475876,2.493012345623774,0.5025250005238135,0.6259995194816254,3.7315654690274283,3.105565949545803,142498,50.3549597279011,50.25445624758407,0.10050348031702312,0.1251980106842586,62.72758680727352,62.60238879658926
73239023,20.788185408368076,20.488700975584152,0.299484432783923,0.749494310460327,52.02482995036885,51.27533563990852,13779.391055424754,13778.59189927179,0.7991561529629458,0.9999901902200714,17242.257137785997,17241.257147595774,0,2.9133435731669604,2.4141266344818635,0.4992169386850965,0.6246739634374536,3.6454890362869192,3.0208150728494654,142784,38.66302724356825,38.5632753166855,0.09975192688274698,0.12482034702287016,48.37934091408075,48.254520567057874
211289435,19.026279243458625,18.726110669448463,0.3001685740101623,0.7481309986987185,47.420518083440335,46.67238708474162,13652.597954156336,13651.795531444077,0.8024227122580702,0.9999669470393003,17013.65936783453,17012.659400887493,0,2.8671329701802835,2.3665910866594446,0.5005418835208384,0.6237676619610164,3.5729773835524488,2.9492097215914326,142211,35.185425516738064,35.085630252238595,0.09979526449947716,0.12436333673769091,43.84754069988926,43.72317736315157
405745956,21.41264639346887,21.111626268881004,0.30102012458786187,0.7518237695592795,53.479934438997375,52.728110669438095,13804.519247210472,13803.718488624816,0.8007585856560018,0.9999818769577512,17238.989771200668,17237.98978932371,0,3.0200904140849816,2.518161226969332,0.5019291871156495,0.6268057559702588,3.7714683738104684,3.1446626178402095,142524,39.80520237285323,39.705091310793165,0.10011106206007021,0.12501801358901557,49.7084660651875,49.583448051598495
1130166084,19.03459356656219,18.73494359373756,0.2996499728246283,0.749748807194982,47.62611418731399,46.876365380119005,13790.335576077128,13789.53626403661,0.7993120405195252,0.9999721396718344,17252.275298942666,17251.275326802996,0,2.99326680047269,2.494721474893915,0.49854532557877534,0.6237006458933998,3.744699510759122,3.1209988648657223,142857,35.07592033265232,34.97516571258183,0.10075462007049217,0.1260481613015958,43.88141467655566,43.75536651525406
