seed,edge_server_number,edge_avg_wait,edge_avg_delay,edge_server_service,edge_server_utilization,edge_weight_utilization,edge_avg_number_node,edge_avg_number_queue,cloud_avg_wait,cloud_avg_delay,cloud_avg_service_time,cloud_utilization,cloud_weight_utilization,cloud_number,cloud_avg_number_node,cloud_avg_number_queue,count_E,E_avg_wait,E_avg_delay,E_avg_number_queue_edge,E_edge_server_utilization,edge_weight_utilizationE,E_edge_server_service,E_avg_number_edge,count_C,C_avg_wait,C_avg_delay,C_avg_number_queue_edge,C_edge_server_utilization,edge_weight_utilizationC,C_edge_server_service,C_avg_number_edge
143103236,"[1, 2, 3]",0.41097816692761613,0.11091079884477614,"[0.29942276439112936, 0.3002944170955167, 0.3010775740590401]","[0.3807964568078545, 0.28443283479837606, 0.18023133893877763]","[0.3807964568078545, 0.09481094493279202, 0.06007711297959254]",1.1579595021306304,0.3124988715856221,1.1390192628544615,0.33846092853933574,"[0.8024974358272795, 0.8007703009907032, 0.7978852375015754]","[0.42148525782617235, 0.3728740588597284, 0.33345501121407845]","[0.42148525782617235, 0.1242913529532428, 0.11115167040469282]","[4, 5, 6]",1.6046329034851734,0.4768185755851941,0,0.6113730486933141,0.11066784684465483,0.15590716873370514,"[0.3174234754142818, 0.23730475296327097, 0.15065759610714233]","[0.3174234754142818, 0.07910158432109032, 0.05021919870238077]","[0.4995799000668797, 0.5004343220991361, 0.5035241454079237]",0.8612929932184002,121717,0.21058328516192806,0.1111537508449055,0.1565917028519283,"[0.06337298139357422, 0.047128081835106896, 0.02957374283163468]","[0.06337298139357422, 0.0157093606117023, 0.00985791427721156]","[0.09958233880402315, 0.09964026542542914, 0.09877186777197676]",0.29666650891224416
413071490,"[1, 2, 3]",0.40483982267323215,0.10517341300697519,"[0.29917673811697726, 0.2990424886115166, 0.3016975829579025]","[0.37989779167262955, 0.2849893274965048, 0.18067495305559628]","[0.37989779167262955, 0.09499644249883493, 0.06022498435186542]",1.1423275627051914,0.29676549048046064,1.1540366997487939,0.3536412222677038,"[0.7994807534390186, 0.801185409325734, 0.800664525576699]","[0.4205616971688064, 0.37396818847161095, 0.33469921162803873]","[0.4205616971688064, 0.12465606282387032, 0.11156640387601291]","[4, 5, 6]",1.6281599001198594,0.49893080285140334,0,0.602981494466598,0.1040542933131779,0.1468038476113492,"[0.3162540632706203, 0.23696253326705247, 0.1506893209897846]","[0.3162540632706203, 0.07898751108901748, 0.050229773663261534]","[0.4984484070717653, 0.4979964976188566, 0.5014116176219258]",0.8507097651388066,121888,0.20669815087986423,0.10629253270077277,0.14996164286911184,"[0.06364372840200708, 0.04802679422945014, 0.029985632065813006]","[0.06364372840200708, 0.016008931409816712, 0.009995210688604334]","[0.10017372232589168, 0.10064830167924416, 0.10051130236441351]",0.29161779756638206
451148723,"[1, 2, 3]",0.40727570342512237,0.10800836043936,"[0.2993437123610318, 0.298691848861006, 0.30002100824882766]","[0.3808442930871609, 0.284785637000113, 0.1797497247254961]","[0.3808442930871609, 0.09492854566670433, 0.0599165749084987]",1.150485014970505,0.30510536015773493,1.1384079568909464,0.33490824140943143,"[0.8063591438991845, 0.8016511909960585, 0.8019705636328498]","[0.42433959142189814, 0.37564624515250816, 0.33488959844463945]","[0.42433959142189814, 0.12521541505083605, 0.11162986614821314]","[4, 5, 6]",1.6079050190223472,0.4730295840033014,0,0.6048684325574677,0.1062579922858191,0.15008043300594498,"[0.31707386886453537, 0.23722177924184742, 0.14994945541455695]","[0.31707386886453537, 0.07907392641394914, 0.04998315180485231]","[0.4983813441547248, 0.49880371395327444, 0.49878951703214236]",0.8543255365268847,122032,0.20968297429278593,0.1097587285929118,0.15502492715180533,"[0.06377042422262487, 0.04756385775826411, 0.02980026931093846]","[0.06377042422262487, 0.015854619252754703, 0.009933423103646153]","[0.10025899678581987, 0.09953481307149749, 0.09983437594414071]",0.2961594784436328
850454564,"[1, 2, 3]",0.40372078801753575,0.10417462034612358,"[0.2990378005739413, 0.29972492943371554, 0.3003398470554008]","[0.37857749676163266, 0.2840156806614113, 0.17944149499753345]","[0.37857749676163266, 0.09467189355380376, 0.05981383166584448]",1.1348731453664551,0.2928384729458777,1.1429170997340345,0.3444142196014313,"[0.8011801317128674, 0.7963591810308933, 0.7975453687677588]","[0.41868929220566675, 0.3717284265980077, 0.33189193437289144]","[0.41868929220566675, 0.12390947553266923, 0.11063064479096381]","[4, 5, 6]",1.606389814898424,0.4840801617218581,0,0.6018944464116625,0.10354778304088699,0.1455382057639183,"[0.31501927695730564, 0.236126646850264, 0.14928895857691712]","[0.31501927695730564, 0.07870888228342132, 0.04976298619230571]","[0.49733455534486015, 0.49972329327986426, 0.4983153090293312]",0.8459730881484051,121421,0.2055471296234081,0.10480145765135924,0.14730026718195816,"[0.06355821980432474, 0.0478890338111478, 0.03015253642061803]","[0.06355821980432474, 0.015963011270382597, 0.010050845473539342]","[0.10047615179057026, 0.100803528585789, 0.10122575498113248]",0.28890005721804873
1512416637,"[1, 2, 3]",0.41154347465379343,0.1115181470168749,"[0.29923758612044604, 0.3009585979024209, 0.30022232286253053]","[0.38034209232239996, 0.28476980142306607, 0.1801069865089686]","[0.38034209232239996, 0.16611571749678852, 0.060035662169656195]",1.1593831679565705,0.3141642877021358,1.1555335449235513,0.35390483431625,"[0.7944296844591427, 0.8021062952009204, 0.8103094894887711]","[0.41987623131314616, 0.3749545539371151, 0.33432675370801906]","[0.41987623131314616, 0.21872348979665043, 0.11144225123600635]","[4, 5, 6]",1.627660532244578,0.4985029932862976,0,0.610214097210593,0.10981556979258288,0.15468392896301633,"[0.3166356658518216, 0.2379974157597122, 0.15021788273280856]","[0.3166356658518216, 0.1388318258598321, 0.05007262757760285]","[0.49867241127469686, 0.5025688914948259, 0.5006258435070092]",0.8595348933073588,121705,0.21287285209699291,0.11322072424116532,0.15948035873911717,"[0.06370642647057646, 0.04677238566335584, 0.029889103776161004]","[0.06370642647057646, 0.02728389163695757, 0.009963034592053667]","[0.10015475387072043, 0.0989582946818846, 0.09967956864650952]",0.2998482746492105
319912554,"[1, 2, 3]",0.41085412956233375,0.11056410976084263,"[0.30067489875183506, 0.29885835660965593, 0.3017600957962074]","[0.3816005334389587, 0.2857900686751318, 0.18075778551330904]","[0.3816005334389587, 0.09526335622504392, 0.06025259517110301]",1.160429067102222,0.31228067947482235,1.1542766758779615,0.3545688335222899,"[0.8053302823735332, 0.7990757278791815, 0.7933977842155086]","[0.4218991466032488, 0.3743398639471875, 0.333120728936286]","[0.4218991466032488, 0.1247799546490625, 0.111040242978762]","[4, 5, 6]",1.6300873105422902,0.5007275710555679,0,0.6103827332992968,0.10948323014843246,0.15461390489103993,"[0.31817256070744426, 0.23814087041830292, 0.15106456672048957]","[0.31817256070744426, 0.0793802901394343, 0.05035485557349652]","[0.5022158910093883, 0.49836824944286995, 0.5021478752316014]",0.8619919027372768,122014,0.2113255258253707,0.11164498937325236,0.1576667745837818,"[0.06342797273151189, 0.047649198256832115, 0.02969321879281947]","[0.06342797273151189, 0.015883066085610704, 0.00989773959760649]","[0.09979083412218404, 0.09959461736011649, 0.09958327865915435]",0.2984371643649453
1938138684,"[1, 2, 3]",0.40872815726236844,0.10845723314488691,"[0.29868835837776203, 0.30201080357185056, 0.30087507636592065]","[0.3782387925120525, 0.28517245949308356, 0.17987222642526315]","[0.3782387925120525, 0.09505748649769452, 0.05995740880842105]",1.147875716577217,0.30459223814681785,1.1281245336757102,0.33039744126714127,"[0.8010236555149743, 0.7901387411982012, 0.8021395869770953]","[0.41764915826593624, 0.36964060730607834, 0.33288209139617386]","[0.41764915826593624, 0.12321353576869278, 0.11096069713205794]","[4, 5, 6]",1.5841173827548416,0.4639455257866532,0,0.6077296913202426,0.10728406823024136,0.15064875579156195,"[0.31469215189982236, 0.2380613699088358, 0.1499744013909415]","[0.31469215189982236, 0.07935378996961193, 0.049991467130313834]","[0.4959165430964165, 0.5041123841035535, 0.5042869861417363]",0.8533766789911617,121322,0.20972662320449553,0.10963039805953215,0.15394348235525548,"[0.06354664061223265, 0.047111089584245334, 0.029897825034323738]","[0.06354664061223265, 0.015703696528081776, 0.009965941678107913]","[0.1005857558681487, 0.09981010748116564, 0.09951632837156843]",0.2944990375860572
2037651608,"[1, 2, 3]",0.41318373898578986,0.1115498311111018,"[0.30228481651623096, 0.3012194185977584, 0.3009201919949306]","[0.38233463460029854, 0.28677329645268523, 0.1807372871398844]","[0.38233463460029854, 0.09559109881756174, 0.060245762379961466]",1.1641337914767975,0.31428857328392934,1.1219671079346332,0.3221587854072192,"[0.8024846129595662, 0.7933174077049213, 0.8037429698846666]","[0.4210839329677622, 0.3715332031582729, 0.33410181128946004]","[0.4210839329677622, 0.12384440105275762, 0.11136727042982]","[4, 5, 6]",1.5805556947597128,0.45383674734421753,0,0.6137102982786754,0.10998583671771288,0.1549410311030446,"[0.31954053193247434, 0.2394306185689871, 0.15064373988116697]","[0.31954053193247434, 0.07981020618966236, 0.050214579960388986]","[0.505067958189756, 0.5018914053752265, 0.5038063439224602]",0.864555921485673,121698,0.2126571796929002,0.11311382550448548,0.15934754218087738,"[0.06279410266782395, 0.047342677883699245, 0.030093547258718118]","[0.06279410266782395, 0.015780892627899747, 0.010031182419572706]","[0.09933457648388272, 0.09967203188284804, 0.09977829253455993]",0.2995778699911187
1266589339,"[1, 2, 3]",0.4146490689688582,0.11381297292251263,"[0.30156417040981953, 0.3011772332431156, 0.29875845694248593]","[0.3845635280924102, 0.28728741454660717, 0.18030233920358946]","[0.3845635280924102, 0.09576247151553571, 0.06010077973452982]",1.1745417839764785,0.32238850213387166,1.1390134145432977,0.34116319301889836,"[0.7961129376069584, 0.7994720378247021, 0.7982287791960253]","[0.42110835006037056, 0.3749160460291265, 0.3339774448234476]","[0.42110835006037056, 0.12497201534304216, 0.1113258149411492]","[4, 5, 6]",1.6131940814647057,0.483192240551761,0,0.6139951810327436,0.11224401583199502,0.15897212421559406,"[0.32077460596998547, 0.2395240649877779, 0.15033563741376338]","[0.32077460596998547, 0.07984135499592596, 0.050111879137921124]","[0.5032040417206536, 0.5022214147347784, 0.4979407097853944]",0.8696064325871208,122367,0.21530295690497497,0.11538193001303187,0.16341637791827984,"[0.06378892212242582, 0.04776334955882848, 0.029966701789826657]","[0.06378892212242582, 0.015921116519609493, 0.009988900596608886]","[0.10001944331614968, 0.10014280928307087, 0.09936216936497436]",0.30493535138936084
1847816387,"[1, 2, 3]",0.4081671113730058,0.10803108211404785,"[0.3005174696775125, 0.30130168704378313, 0.2974956684919095]","[0.3808200968894815, 0.28718950664060794, 0.1796479891370724]","[0.3808200968894815, 0.09572983554686931, 0.059882663045690794]",1.152763804754124,0.3051062120869621,1.1433362204182644,0.34570369567237164,"[0.8007780265692732, 0.7972950299088606, 0.7940684991476717]","[0.42022437798599116, 0.37359476335671926, 0.3325355775967087]","[0.42022437798599116, 0.12453158778557308, 0.11084519253223624]","[4, 5, 6]",1.614530635661749,0.48817591672232985,0,0.6067471402132737,0.10665548090831212,0.15061058882986464,"[0.31758131096260833, 0.23940883668954893, 0.14920046379493226]","[0.31758131096260833, 0.07980294556318297, 0.04973348793164409]","[0.49952560954772934, 0.5029753317274269, 0.4967201305129948]",0.8568012002769543,122007,0.2095870825327329,0.10940668331977844,0.15449562325709015,"[0.0632387859268781, 0.04778066995105399, 0.030447525342140316]","[0.0632387859268781, 0.01592688998368466, 0.010149175114046772]","[0.10014873380364514, 0.10013188405515196, 0.10032256047683863]",0.29596260447716255
