Lambda,E_wait
1.2,1.2554011008815613
1.25,1.3535712506182056
1.3,1.4364184759491048
1.35,1.5390624173791254
1.4,1.6937591733500905
1.45,1.820627365204191
1.5,2.0473399654499977
1.55,2.309227365247084
1.6,2.5012555787040753
1.65,2.886573450011213
1.7,3.4291366261033946
1.75,3.952655946880742
